"Time [s]","Committed size","Free size","Used size"
683.49,131072000,121587000,9485000
684.5,131072000,121587000,9485000
685.5,131072000,121587000,9485000
686.5,131072000,121587000,9485000
687.5,131072000,121587000,9485000
688.53,131072000,121587000,9485000
689.53,131072000,121587000,9485000
690.53,131072000,121587000,9485000
691.53,131072000,121587000,9485000
692.53,131072000,121587000,9485000
693.53,131072000,121587000,9485000
694.54,131072000,121587000,9485000
695.54,131072000,121587000,9485000
696.54,131072000,121587000,9485000
697.55,131072000,121587000,9485000
698.56,131072000,121587000,9485000
699.56,131072000,121587000,9485000
700.57,131072000,121587000,9485000
701.58,131072000,121587000,9485000
702.58,131072000,121587000,9485000
703.58,131072000,121587000,9485000
704.59,131072000,121587000,9485000
705.59,131072000,121587000,9485000
706.61,131072000,121587000,9485000
707.62,131072000,121587000,9485000
708.62,131072000,121587000,9485000
709.62,131072000,121587000,9485000
710.62,131072000,121587000,9485000
711.62,131072000,121587000,9485000
712.63,131072000,121587000,9485000
713.63,131072000,121587000,9485000
714.63,131072000,121587000,9485000
715.64,131072000,121587000,9485000
716.67,131072000,121587000,9485000
717.67,131072000,121587000,9485000
718.67,131072000,121587000,9485000
719.67,131072000,121587000,9485000
720.67,131072000,121587000,9485000
721.67,131072000,121587000,9485000
722.68,131072000,121587000,9485000
723.68,131072000,121587000,9485000
724.69,131072000,121587000,9485000
725.69,131072000,121587000,9485000
726.69,131072000,121587000,9485000
727.69,131072000,121587000,9485000
728.69,131072000,121587000,9485000
729.69,131072000,121587000,9485000
730.69,131072000,121587000,9485000
731.69,131072000,121587000,9485000
732.7,131072000,121587000,9485000
733.7,131072000,121321000,9751000
734.71,131072000,121321000,9751000
735.71,131072000,121321000,9751000
736.74,131072000,121321000,9751000
737.74,131072000,121321000,9751000
738.74,131072000,121321000,9751000
739.74,131072000,121321000,9751000
740.75,131072000,121321000,9751000
741.76,131072000,121321000,9751000
742.76,131072000,121321000,9751000
743.76,131072000,121321000,9751000
744.76,131072000,121321000,9751000
745.76,131072000,121321000,9751000
746.76,131072000,121321000,9751000
747.76,131072000,121321000,9751000
748.78,131072000,121321000,9751000
749.78,131072000,121321000,9751000
750.78,131072000,121321000,9751000
751.78,131072000,121321000,9751000
752.81,131072000,121321000,9751000
753.81,131072000,121321000,9751000
754.81,131072000,121321000,9751000
755.81,131072000,121321000,9751000
756.82,131072000,121321000,9751000
757.82,131072000,121321000,9751000
758.82,131072000,121321000,9751000
759.82,131072000,121321000,9751000
760.84,131072000,121321000,9751000
761.84,131072000,121321000,9751000
762.84,131072000,121321000,9751000
763.85,131072000,121321000,9751000
764.87,131072000,121321000,9751000
765.87,131072000,121321000,9751000
766.87,131072000,121321000,9751000
767.87,131072000,121321000,9751000
768.89,131072000,121321000,9751000
769.89,131072000,121321000,9751000
770.9,131072000,121321000,9751000
771.9,131072000,121321000,9751000
772.9,131072000,121321000,9751000
773.9,131072000,121321000,9751000
774.91,131072000,121321000,9751000
